% Model,2DGGEM.mph
% Version,COMSOL 6.2.0.415
% Date,"Dec 5 2024, 14:54"
% Dimension,2
% Nodes,4930
% Expressions,2
% Description,"Electric field, x-component, Electric field, y-component"
% Length unit,m
% x,y,es.Ex (V/m),es.Ey (V/m)
-0.02922547760618715,-0.019196004037769394,0.38541238700815017,0.3719003033664471
-0.03,-0.018823529411764708,0.564948268395233,-1.428799791510412E-5
-0.03,-0.02,-5.3411801907155E-6,-5.145378660392774E-6
-0.0288,-0.02,-3.8311925795508905E-5,0.5749307820119819
-0.029131964136329454,-0.018201967055740245,0.8631741235223339,0.419433724763393
-0.03,-0.01764705882352941,1.1337359081541578,5.095655685035302E-5
-0.0281954238946063,-0.018954523721342,0.49794959476795075,0.8656572385676053
-0.0276,-0.02,-3.0564176456563764E-5,1.1458383485799646
-0.02905194897787238,-0.017082881494740004,1.4059753915920654,0.4637479991901173
-0.03,-0.016470588235294115,1.7099276416260387,7.120222261909323E-5
-0.02813896780546015,-0.017658563477287142,1.1189156373532312,0.9021835306572167
-0.027309843492750892,-0.018169979349161012,0.8646348594120855,1.2935307966135392
-0.026959407559913617,-0.019041194176354536,0.4496827726543076,1.4508171140306934
-0.026399999999999993,-0.02,-2.5302840401364435E-5,1.7081991490845736
-0.02903137104217328,-0.015896512741893395,1.9906873016309783,0.48270057610813516
-0.030000000000000002,-0.015294117647058823,2.2967677800640702,4.82808731299853E-5
-0.02806847458546708,-0.016488803995164156,1.686453160265719,0.9514140843610339
-0.02699889025322013,-0.017106964898481965,1.3671220981838061,1.4593750433784185
-0.026334416771293986,-0.018106614573156106,0.8802329321935082,1.7551684313761289
-0.0257889776896223,-0.019043482938972036,0.4382521386239245,1.9947761323990647
-0.025199999999999993,-0.02,-7.5478571342306E-5,2.257334170765593
-0.029030566356442994,-0.014711867016543095,2.5870948981423445,0.49418027509032764
-0.03,-0.01411764705882353,2.8968171321860936,2.541049040066276E-5
-0.028046754545746438,-0.015299714822670984,2.275441267204511,0.9828241020969889
-0.027046443326051776,-0.015846049569572404,1.980623251021634,1.4668021971931224
-0.026178819970542482,-0.016327416450514026,1.7197169236159784,1.874102346350624
-0.02580155030023099,-0.017188509461680462,1.2985272549949765,2.026341750513839
-0.02519005355322183,-0.01809530766721038,0.8619301305463841,2.284949903706217
-0.024608722294975714,-0.01903542157865047,0.4273637257785827,2.528331192875877
-0.023999999999999987,-0.02,-1.067559922489636E-4,2.787961698711864
-0.02903639062217119,-0.013534958406501624,3.1942555507095185,0.503585616897029
-0.03,-0.012941176470588235,3.511777897508695,9.055970008701545E-6
-0.02806924485172186,-0.01412761000728353,2.8711337662788625,0.9956212450762689
-0.02703442711262167,-0.014727445605569336,2.5371548407874056,1.5068976799680545
-0.025936177392916503,-0.015262310324663188,2.228219324217844,2.033868617074276
-0.02518135066167341,-0.01622880777660765,1.7274429067736587,2.354468297082777
-0.024598505275478088,-0.017128323631595468,1.2840099419771094,2.586057635478268
-0.02400814787196775,-0.01806949515155451,0.8403015051371744,2.815757625101366
-0.023406276325941968,-0.019032973190994597,0.4087736653155978,3.0507930729158876
-0.022799999999999994,-0.02,-1.1401442225755787E-4,3.2940701430081014
-0.02903940246848069,-0.01236020008419757,3.8160384244552468,0.514793731332667
-0.03,-0.011764705882352938,4.142198856806119,-1.5162020684004554E-5
-0.028077758292748455,-0.012951447768163845,3.4850908431080505,1.017309975500071
-0.027117239162677123,-0.013554350446084797,3.1409856748158735,1.5043585057864586
-0.026143769116359433,-0.014102902995354974,2.8181818732497796,1.9833756161821896
-0.025251556576907867,-0.014398066619958148,2.6210996837667704,2.4182761745898222
-0.02471687498625891,-0.015205483255065771,2.1916059799242347,2.631329981923757
-0.023998073178481884,-0.01609889102317389,1.7245514698005,2.914008281570337
-0.02341185608729267,-0.017088930709345914,1.2450243939362735,3.119578039987731
-0.0228078124413625,-0.01806071452028363,0.7998931604341363,3.3312220761968443
-0.022203965881539875,-0.019030381553230877,0.3847451850916533,3.545616460752536
